Country,Region,GDP per capita $,SPI,HCI,HPI,GINI,HDI
Equatorial Guinea,Sub Saharan Africa,7131,50.08,,,,0.592
Saint Vincent and the Grenadines,Americas,7033,,0.53,,,0.738
Botswana,Sub Saharan Africa,6558,69.36,0.42,16.60508319,53.3,0.72
Brazil,Americas,6450,73.91,0.56,34.34497525,53.3,0.758
Belarus,Post-communist,6134,77,0.7,21.718916,25.3,0.815
North Macedonia,Post-communist,6019,73.16,0.53,23.391908,34.5,0.765
Peru,Americas,5845,74.22,0.59,34.55546153,43.6,0.765
Bosnia and Herzegovina,Post-communist,5762,72.74,0.62,25.28549689,33,0.772
Ecuador,Americas,5316,75.45,0.6,37.04271571,45,0.758
Jamaica,Americas,5221,74.75,0.54,36.88843514,45.5,0.731
Colombia,Americas,5207,74,0.59,40.69501102,50.8,0.76
Tonga,Asia Pacific,5023,,0.51,,37.6,0.725
Paraguay,Americas,4909,72.48,0.53,23.32622279,47.9,0.722
Albania,Post-communist,4898,75.41,0.62,36.76687444,33.7,0.788
South Africa,Sub Saharan Africa,4736,70.26,0.41,15.86899167,63,0.703
Azerbaijan,Post-communist,4721,64.11,0.59,,26.6,0.756
Iraq,Middle East and North Africa,4438,63.52,0.4,26.52129157,29.54,0.656
Georgia,Post-communist,4405,74.85,0.61,31.07603413,36.6,0.792
Fiji,Asia Pacific,4371,68.42,0.51,,36.7,0.743
Armenia,Post-communist,4315,76.46,0.57,25.66641729,32.5,0.766
Moldova,Post-communist,4268,72.58,0.58,,25.7,0.75
Guatemala,Americas,4240,61.67,0.46,34.23635157,48.3,0.653
Suriname,Americas,4199,71.12,,,57.6,0.738
Jordan,Middle East and North Africa,4174,71.5,0.56,,33.7,0.729
Kosovo,Post-communist,4141,,0.56,,29,
Tuvalu,Asia Pacific,4091,,0.45,,39.1,
Samoa,Asia Pacific,4084,,0.55,,38.7,0.715
Marshall Islands,Asia Pacific,4071,,0.42,,,0.704
Namibia,Sub Saharan Africa,4052,67.14,0.43,21.56923373,59.1,0.639
Indonesia,Asia Pacific,4038,69.49,0.53,35.71609258,38.6,0.703
Mongolia,Asia Pacific,3990,71.07,0.63,14.26947133,32.3,0.729
Micronesia,Asia Pacific,3855,,0.51,,40.1,0.62
El Salvador,Americas,3821,67.25,0.5,35.63517765,41.8,0.671
Belize,Americas,3734,,,,53.3,0.716
Sri Lanka,Asia Pacific,3698,76.96,0.58,33.79177608,39.8,0.773
Egypt,Middle East and North Africa,3561,59.98,0.49,23.78102058,31.8,0.696
Vietnam,Asia Pacific,3498,68.85,0.67,40.30758931,35.3,0.693
Bhutan,Asia Pacific,3431,68.34,0.48,28.623233,38.65,0.637
Ukraine,Post-communist,3425,73.38,0.65,26.38316245,25,0.768
Eswatini,Sub Saharan Africa,3415,52.92,0.41,15.536035,54.6,0.588
Philippines,Asia Pacific,3373,63.93,0.55,34.99109367,44.4,0.704
Cape Verde,Sub Saharan Africa,3358,72.05,,,42.4,0.665
Algeria,Middle East and North Africa,3331,69.92,0.52,33.30054279,27.6,0.743
Bolivia,Americas,3322,69.23,,23.321493,44.6,0.702
Tunisia,Middle East and North Africa,3295,75.02,0.51,26.19714113,32.8,0.731
Libya,Middle East and North Africa,3282,,,,,0.724
Morocco,Middle East and North Africa,3121,66.9,0.5,32.65875156,39.5,0.667
Djibouti,Sub Saharan Africa,3074,48.53,,16.42,44.1,0.505
Vanuatu,Asia Pacific,2879,,0.47,40.57009899,37.6,0.598
Lebanon,Middle East and North Africa,2745,69.37,0.52,21.897769,31.8,0.741
Papua New Guinea,Asia Pacific,2652,44.91,0.38,,41.9,0.555
Laos,Asia Pacific,2567,51.8,0.45,,36.4,0.613
Honduras,Americas,2412,62.41,0.49,27.15877079,51.1,0.626
Solomon Islands,Asia Pacific,2367,,0.44,,37.1,0.567
Côte d'Ivoire,Sub Saharan Africa,2281,53.59,0.38,14.438557,41.5,0.513
Ghana,Sub Saharan Africa,2188,64.86,0.44,21.43466357,43.5,0.598
Nigeria,Sub Saharan Africa,2149,51.31,0.34,22.24682584,43,0.526
Democratic Republic of the Congo,Sub Saharan Africa,2128,48.45,0.42,18.812712,42.1,0.578
Kenya,Sub Saharan Africa,2075,57.1,0.52,24.21635164,40.8,0.591
Bangladesh,Asia Pacific,2064,55.23,0.48,38.39069441,32.4,0.606
Angola,Sub Saharan Africa,2021,48.16,0.36,,51.3,0.581
São Tomé and Príncipe,Sub Saharan Africa,1912,,,,56.3,0.625
India,Asia Pacific,1877,56.8,0.44,29.1754645,35.7,0.63
Nicaragua,Americas,1832,64.02,0.53,38.68825827,46.2,0.657
Mauritania,Sub Saharan Africa,1791,48.95,0.35,17.99806139,32.6,0.542
Uzbekistan,Post-communist,1763,64.98,0.62,,35.3,0.72
Venezuela,Americas,1739,,,,46.9,0.711
Kiribati,Asia Pacific,1638,,0.48,,37,0.63
Cambodia,Asia Pacific,1572,56.27,0.49,25.64937316,30.76,0.576
Cameroon,Sub Saharan Africa,1493,51.29,0.39,16.69823717,46.6,0.553
East Timor,Asia Pacific,1456,61.08,0.45,,28.7,0.606
Senegal,Sub Saharan Africa,1455,60.04,0.42,21.89604571,40.3,0.509
Pakistan,Asia Pacific,1378,49.25,0.41,31.500108,33.5,0.542
Comoros,Sub Saharan Africa,1337,41,0.41,23.10098881,45.3,0.547
Myanmar,Asia Pacific,1333,55.99,0.47,24.7361004,38.1,0.563
Benin,Sub Saharan Africa,1259,55.56,0.41,13.42236479,47.8,0.533
Kyrgyzstan,Post-communist,1148,68.65,0.58,33.07797039,26.8,0.691
Nepal,Asia Pacific,1116,57.6,0.49,30.51278154,32.8,0.586
Tanzania,Sub Saharan Africa,1106,56.2,0.4,22.13837929,37.8,0.52
Guinea,Sub Saharan Africa,1019,43.41,0.37,15.85358085,33.73,0.465
Zambia,Sub Saharan Africa,1001,55.34,0.4,25.22424646,57.1,0.571
Ethiopia,Sub Saharan Africa,974,48.59,0.38,26.65874996,35,0.467
Lesotho,Sub Saharan Africa,924,53.8,0.37,16.66513639,51.6,0.512
Zimbabwe,Sub Saharan Africa,922,52.26,0.44,22.1125354,43.2,0.558
Uganda,Sub Saharan Africa,915,52.98,0.38,19.41910169,42.37,0.529
Mali,Sub Saharan Africa,899,48.29,0.32,,33,0.434
Tajikistan,Post-communist,834,56.99,0.53,34.2495974,34,0.653
Syria,Middle East and North Africa,829,,,,35.8,0.567
Rwanda,Sub Saharan Africa,823,54.13,0.37,19.62837798,43.7,0.527
Burkina Faso,Sub Saharan Africa,769,49.87,0.37,17.88618794,35.3,0.428
Guinea-Bissau,Sub Saharan Africa,767,46.69,,,50.7,0.48
"Gambia, The",Sub Saharan Africa,746,55.1,0.42,,35.9,0.496
Sudan,Middle East and North Africa,735,48.51,0.38,,34.2,0.51
Haiti,Americas,732,48.79,0.45,28.56718477,41.1,0.5
Togo,Sub Saharan Africa,690,53.05,0.41,13.2332692,43.1,0.502
Liberia,Sub Saharan Africa,654,51.37,0.32,22.18227923,35.3,0.478
Yemen,Middle East and North Africa,645,,0.37,22.75426851,36.7,0.474
Chad,Sub Saharan Africa,640,31.29,0.29,12.77715621,43.3,0.393
Eritrea,Sub Saharan Africa,585,35.2,,,,0.459
Niger,Sub Saharan Africa,536,42.21,0.32,16.84656457,34.3,0.378
Sierra Leone,Sub Saharan Africa,518,51.74,0.35,15.26464974,34,0.431
Madagascar,Sub Saharan Africa,515,48.46,0.37,,42.6,0.528
Afghanistan,Asia Pacific,499,42.29,0.4,20.22535,27.8,0.502
Central African Republic,Sub Saharan Africa,480,31.62,0.29,,56.2,0.397
Republic of the Congo,Sub Saharan Africa,457,42.25,0.37,,48.9,0.574
Mozambique,Sub Saharan Africa,455,49,0.36,23.7063406,54,0.441
Malawi,Sub Saharan Africa,399,54.07,0.41,22.13081844,44.7,0.472
South Sudan,Sub Saharan Africa,303,31.06,0.31,,46.3,0.433
Burundi,Sub Saharan Africa,264,41.2,0.38,15.5761588,38.6,0.438
